time,lon,lat,foot,label,age,sex,year,logger,type,Nest_Distance,Trip_ID,ID
2020-05-20T23:10:17Z,141.56257,40.54184,X1,K20X1,10,♂,2020,VHF00001,harness,658.3295452647,1,2020_X1_1_trip
2020-05-20T23:20:17Z,141.56118,40.53799,X1,K20X1,10,♂,2020,VHF00001,harness,403.5992515773,1,2020_X1_1_trip
2020-05-20T23:25:17Z,141.56766,40.53122,X1,K20X1,10,♂,2020,VHF00001,harness,1384.9850561791,1,2020_X1_1_trip
2020-05-21T00:40:16Z,141.58289,40.53734,X1,K20X1,10,♂,2020,VHF00001,harness,2810.8719101216,1,2020_X1_1_trip
2020-05-21T00:45:12Z,141.58055,40.54765,X1,K20X1,10,♂,2020,VHF00001,harness,2738.2770355357,1,2020_X1_1_trip
2020-05-21T00:50:15Z,141.57821,40.55696,X1,K20X1,10,♂,2020,VHF00001,harness,3063.7296126608,1,2020_X1_1_trip
2020-05-21T00:55:13Z,141.594,40.54857,X1,K20X1,10,♂,2020,VHF00001,harness,4189.2621806139,1,2020_X1_1_trip
2020-05-21T01:00:15Z,141.60168,40.54548,X1,K20X1,10,♂,2020,VHF00001,harness,4951.5310059615,1,2020_X1_1_trip
2020-05-21T01:05:15Z,141.59698,40.54879,X1,K20X1,10,♂,2020,VHF00001,harness,4515.1684640571,1,2020_X1_1_trip
2020-05-21T01:10:16Z,141.60241,40.55854,X1,K20X1,10,♂,2020,VHF00001,harness,5443.9320871421,1,2020_X1_1_trip
2020-05-21T01:15:16Z,141.59777,40.55375,X1,K20X1,10,♂,2020,VHF00001,harness,4765.7401626502,1,2020_X1_1_trip
2020-05-21T01:20:10Z,141.59311,40.5519,X1,K20X1,10,♂,2020,VHF00001,harness,4209.3272431311,1,2020_X1_1_trip
2020-05-21T01:25:12Z,141.59553,40.54083,X1,K20X1,10,♂,2020,VHF00001,harness,4217.9881982692,1,2020_X1_1_trip
2020-05-21T01:30:16Z,141.5764,40.52887,X1,K20X1,10,♂,2020,VHF00001,harness,2349.8466790392,1,2020_X1_1_trip
2020-05-21T01:35:14Z,141.55915,40.537,X1,K20X1,10,♂,2020,VHF00001,harness,247.7936383258,1,2020_X1_1_trip
2020-05-21T01:40:13Z,141.55353,40.55056,X1,K20X1,10,♂,2020,VHF00001,harness,1402.1404387511,1,2020_X1_1_trip
2020-05-21T01:45:11Z,141.5434,40.54984,X1,K20X1,10,♂,2020,VHF00001,harness,2009.9907097918,1,2020_X1_1_trip
2020-05-21T01:50:13Z,141.54654,40.55987,X1,K20X1,10,♂,2020,VHF00001,harness,2661.2171314355,1,2020_X1_1_trip
2020-05-21T01:55:17Z,141.53746,40.56349,X1,K20X1,10,♂,2020,VHF00001,harness,3553.6991585606,1,2020_X1_1_trip
2020-05-21T02:00:17Z,141.52334,40.55704,X1,K20X1,10,♂,2020,VHF00001,harness,4318.6048778366,1,2020_X1_1_trip
2020-05-21T02:05:11Z,141.538,40.56065,X1,K20X1,10,♂,2020,VHF00001,harness,3275.1485273361,1,2020_X1_1_trip
2020-05-21T02:10:17Z,141.53574,40.57603,X1,K20X1,10,♂,2020,VHF00001,harness,4811.7119858145,1,2020_X1_1_trip
2020-05-21T02:15:10Z,141.53641,40.57567,X1,K20X1,10,♂,2020,VHF00001,harness,4739.7819344515,1,2020_X1_1_trip
2020-05-21T02:20:12Z,141.52217,40.59132,X1,K20X1,10,♂,2020,VHF00001,harness,7050.9105129233,1,2020_X1_1_trip
2020-05-21T02:25:10Z,141.51672,40.56512,X1,K20X1,10,♂,2020,VHF00001,harness,5408.8169879666,1,2020_X1_1_trip
2020-05-21T02:30:10Z,141.51783,40.57334,X1,K20X1,10,♂,2020,VHF00001,harness,5861.5141075484,1,2020_X1_1_trip
2020-05-21T02:35:11Z,141.50632,40.57421,X1,K20X1,10,♂,2020,VHF00001,harness,6929.894391925,1,2020_X1_1_trip
2020-05-21T02:40:10Z,141.51008,40.57122,X1,K20X1,10,♂,2020,VHF00001,harness,6398.1420422275,1,2020_X1_1_trip
2020-05-21T02:45:10Z,141.50407,40.57214,X1,K20X1,10,♂,2020,VHF00001,harness,7011.5812868901,1,2020_X1_1_trip
2020-05-21T02:50:10Z,141.50116,40.55226,X1,K20X1,10,♂,2020,VHF00001,harness,6446.2818878556,1,2020_X1_1_trip
2020-05-21T02:55:10Z,141.49514,40.55007,X1,K20X1,10,♂,2020,VHF00001,harness,7049.0776773623,1,2020_X1_1_trip
2020-05-21T03:00:16Z,141.51366,40.55364,X1,K20X1,10,♂,2020,VHF00001,harness,5154.9403288449,1,2020_X1_1_trip
2020-05-21T03:05:11Z,141.51353,40.56842,X1,K20X1,10,♂,2020,VHF00001,harness,5906.5996199972,1,2020_X1_1_trip
2020-05-21T03:10:15Z,141.50295,40.56324,X1,K20X1,10,♂,2020,VHF00001,harness,6654.0557923514,1,2020_X1_1_trip
2020-05-21T03:15:14Z,141.51118,40.55515,X1,K20X1,10,♂,2020,VHF00001,harness,5470.8471946118,1,2020_X1_1_trip
2020-05-21T03:20:11Z,141.49897,40.55013,X1,K20X1,10,♂,2020,VHF00001,harness,6633.0163345179,1,2020_X1_1_trip
2020-05-21T03:25:10Z,141.50106,40.55929,X1,K20X1,10,♂,2020,VHF00001,harness,6683.328735844,1,2020_X1_1_trip
2020-05-21T03:30:15Z,141.48146,40.56257,X1,K20X1,10,♂,2020,VHF00001,harness,8860.7642583766,1,2020_X1_1_trip
2020-05-21T03:35:11Z,141.46818,40.55728,X1,K20X1,10,♂,2020,VHF00001,harness,10140.1775992967,1,2020_X1_1_trip
2020-05-21T03:40:11Z,141.47015,40.56241,X1,K20X1,10,♂,2020,VHF00001,harness,10060.805467713,1,2020_X1_1_trip
2020-05-21T03:45:11Z,141.47753,40.56338,X1,K20X1,10,♂,2020,VHF00001,harness,9303.6819005038,1,2020_X1_1_trip
2020-05-21T03:50:11Z,141.47924,40.57307,X1,K20X1,10,♂,2020,VHF00001,harness,9501.8098359908,1,2020_X1_1_trip
2020-05-21T03:55:12Z,141.47809,40.56605,X1,K20X1,10,♂,2020,VHF00001,harness,9336.9371332323,1,2020_X1_1_trip
2020-05-21T04:00:11Z,141.47508,40.56277,X1,K20X1,10,♂,2020,VHF00001,harness,9544.9460943531,1,2020_X1_1_trip
2020-05-21T04:05:10Z,141.46029,40.55885,X1,K20X1,10,♂,2020,VHF00001,harness,11032.6799912751,1,2020_X1_1_trip
2020-05-21T04:10:11Z,141.45309,40.54421,X1,K20X1,10,♂,2020,VHF00001,harness,11617.0620540213,1,2020_X1_1_trip
2020-05-21T04:15:10Z,141.44849,40.54717,X1,K20X1,10,♂,2020,VHF00001,harness,12148.9890656769,1,2020_X1_1_trip
2020-05-21T04:20:10Z,141.45906,40.54979,X1,K20X1,10,♂,2020,VHF00001,harness,11008.4797673295,1,2020_X1_1_trip
2020-05-21T04:25:10Z,141.46249,40.54984,X1,K20X1,10,♂,2020,VHF00001,harness,10630.248474377,1,2020_X1_1_trip
2020-05-21T04:30:10Z,141.44486,40.54749,X1,K20X1,10,♂,2020,VHF00001,harness,12552.6524640399,1,2020_X1_1_trip
2020-05-20T23:10:17Z,141.54345,40.5411,X1,K20X1,10,♂,2020,VHF00001,harness,1595.4762551992,2,2020_X1_2_trip
2020-05-20T23:20:17Z,141.53924,40.54457,X1,K20X1,10,♂,2020,VHF00001,harness,2142.9882100021,2,2020_X1_2_trip
2020-05-20T23:25:17Z,141.53581,40.53777,X1,K20X1,10,♂,2020,VHF00001,harness,2420.1487187789,2,2020_X1_2_trip
2020-05-21T00:40:16Z,141.52779,40.54009,X1,K20X1,10,♂,2020,VHF00001,harness,3313.0589152043,2,2020_X1_2_trip
2020-05-21T00:45:12Z,141.52618,40.54302,X1,K20X1,10,♂,2020,VHF00001,harness,3522.3200411932,2,2020_X1_2_trip
2020-05-21T00:50:15Z,141.53022,40.53588,X1,K20X1,10,♂,2020,VHF00001,harness,3054.4199731366,2,2020_X1_2_trip
2020-05-21T00:55:13Z,141.54908,40.55454,X1,K20X1,10,♂,2020,VHF00001,harness,2005.930273447,2,2020_X1_2_trip
2020-05-21T01:00:15Z,141.55083,40.55927,X1,K20X1,10,♂,2020,VHF00001,harness,2414.9906328625,2,2020_X1_2_trip
2020-05-21T01:05:15Z,141.5534,40.54736,X1,K20X1,10,♂,2020,VHF00001,harness,1078.5052418917,2,2020_X1_2_trip
2020-05-21T01:10:16Z,141.55266,40.55393,X1,K20X1,10,♂,2020,VHF00001,harness,1787.6599238574,2,2020_X1_2_trip
2020-05-21T01:15:16Z,141.53347,40.54418,X1,K20X1,10,♂,2020,VHF00001,harness,2749.2867248621,2,2020_X1_2_trip
2020-05-21T01:20:10Z,141.5332,40.55205,X1,K20X1,10,♂,2020,VHF00001,harness,3092.3754816524,2,2020_X1_2_trip
2020-05-21T01:25:12Z,141.53381,40.56364,X1,K20X1,10,♂,2020,VHF00001,harness,3833.9911019219,2,2020_X1_2_trip
2020-05-21T01:30:16Z,141.55844,40.55543,X1,K20X1,10,♂,2020,VHF00001,harness,1870.5169166865,2,2020_X1_2_trip
2020-05-21T01:35:14Z,141.55651,40.56506,X1,K20X1,10,♂,2020,VHF00001,harness,2940.0194454392,2,2020_X1_2_trip
2020-05-21T01:40:13Z,141.55953,40.56919,X1,K20X1,10,♂,2020,VHF00001,harness,3402.4871822162,2,2020_X1_2_trip
2020-05-21T01:45:11Z,141.55918,40.57741,X1,K20X1,10,♂,2020,VHF00001,harness,4311.8042777355,2,2020_X1_2_trip
2020-05-21T01:50:13Z,141.5475,40.59638,X1,K20X1,10,♂,2020,VHF00001,harness,6510.9841419137,2,2020_X1_2_trip
2020-05-21T01:55:17Z,141.55892,40.59393,X1,K20X1,10,♂,2020,VHF00001,harness,6143.041533735,2,2020_X1_2_trip
2020-05-21T02:00:17Z,141.56644,40.58639,X1,K20X1,10,♂,2020,VHF00001,harness,5394.699571163,2,2020_X1_2_trip
2020-05-21T02:05:11Z,141.57435,40.57749,X1,K20X1,10,♂,2020,VHF00001,harness,4700.7772977578,2,2020_X1_2_trip
2020-05-21T02:10:17Z,141.56526,40.56934,X1,K20X1,10,♂,2020,VHF00001,harness,3516.0811992922,2,2020_X1_2_trip
2020-05-21T02:15:10Z,141.57929,40.56857,X1,K20X1,10,♂,2020,VHF00001,harness,4105.930140081,2,2020_X1_2_trip
2020-05-21T02:20:12Z,141.56527,40.57198,X1,K20X1,10,♂,2020,VHF00001,harness,3801.3731934208,2,2020_X1_2_trip
2020-05-21T02:25:10Z,141.57114,40.57474,X1,K20X1,10,♂,2020,VHF00001,harness,4284.1471964432,2,2020_X1_2_trip
2020-05-21T02:30:10Z,141.59304,40.58302,X1,K20X1,10,♂,2020,VHF00001,harness,6307.416952932,2,2020_X1_2_trip
2020-05-21T02:35:11Z,141.58314,40.58315,X1,K20X1,10,♂,2020,VHF00001,harness,5699.454818953,2,2020_X1_2_trip
2020-05-21T02:40:10Z,141.57747,40.59768,X1,K20X1,10,♂,2020,VHF00001,harness,6919.0822326659,2,2020_X1_2_trip
2020-05-21T02:45:10Z,141.57847,40.59503,X1,K20X1,10,♂,2020,VHF00001,harness,6678.8628386093,2,2020_X1_2_trip
2020-05-21T02:50:10Z,141.57344,40.62224,X1,K20X1,10,♂,2020,VHF00001,harness,9448.5449620741,2,2020_X1_2_trip
2020-05-21T02:55:10Z,141.55793,40.62849,X1,K20X1,10,♂,2020,VHF00001,harness,9978.1522619567,2,2020_X1_2_trip
2020-05-21T03:00:16Z,141.55862,40.61992,X1,K20X1,10,♂,2020,VHF00001,harness,9027.3435426165,2,2020_X1_2_trip
2020-05-21T03:05:11Z,141.54799,40.60921,X1,K20X1,10,♂,2020,VHF00001,harness,7910.1734993547,2,2020_X1_2_trip
2020-05-21T03:10:15Z,141.55273,40.61404,X1,K20X1,10,♂,2020,VHF00001,harness,8390.9394242926,2,2020_X1_2_trip
2020-05-21T03:15:14Z,141.54353,40.6118,X1,K20X1,10,♂,2020,VHF00001,harness,8274.10311717,2,2020_X1_2_trip
2020-05-21T03:20:11Z,141.55903,40.61894,X1,K20X1,10,♂,2020,VHF00001,harness,8919.409471673,2,2020_X1_2_trip
